Date,Product,Category,Region,Quantity,Discount (%),Sales,Profit,Year,Month,Month_Name,Day_No,Day_Name,Quarter
2024-05-10,Tablet,Electronics,South,3,10,54000.0,13674.11,2024,5,May,10,Friday,2
2024-12-31,Camera,Electronics,North,3,0,156000.0,19976.89,2024,12,December,31,Tuesday,4
2024-11-10,Headphones,Accessories,South,5,0,19500.0,2592.21,2024,11,November,10,Sunday,4
2022-05-02,Phone,Electronics,East,2,10,54000.0,11775.37,2022,5,May,2,Monday,2
2023-04-12,Tablet,Electronics,South,2,5,38000.0,5091.14,2023,4,April,12,Wednesday,2
2022-11-27,Headphones,Accessories,East,3,15,9945.0,1976.05,2022,11,November,27,Sunday,4
2022-03-29,Tablet,Electronics,South,4,0,80000.0,10836.98,2022,3,March,29,Tuesday,1
2024-05-21,Smartwatch,Wearables,West,1,5,7600.0,766.65,2024,5,May,21,Tuesday,2
2022-05-11,Tablet,Electronics,East,3,15,51000.0,6460.56,2022,5,May,11,Wednesday,2
2024-02-09,Tablet,Electronics,East,2,5,38000.0,7059.29,2024,2,February,9,Friday,1
2022-12-10,Tablet,Electronics,North,3,10,70200.0,17255.35,2022,12,December,10,Saturday,4
2024-03-16,Camera,Electronics,West,1,20,32000.0,4089.98,2024,3,March,16,Saturday,1
2023-01-21,Phone,Electronics,West,2,5,57000.0,10650.09,2023,1,January,21,Saturday,1
2024-08-13,Headphones,Accessories,East,4,0,12000.0,1657.81,2024,8,August,13,Tuesday,3
2022-10-04,Smartwatch,Wearables,South,4,15,27200.0,7444.44,2022,10,October,4,Tuesday,4
2023-04-05,Phone,Electronics,South,3,0,90000.0,15850.57,2023,4,April,5,Wednesday,2
2022-01-22,Tablet,Electronics,North,2,20,32000.0,5438.54,2022,1,January,22,Saturday,1
2022-09-10,Headphones,Accessories,East,1,15,2550.0,477.49,2022,9,September,10,Saturday,3
2024-01-18,Phone,Electronics,East,3,20,72000.0,9645.01,2024,1,January,18,Thursday,1
2024-05-06,Smartwatch,Wearables,South,5,15,34000.0,4261.71,2024,5,May,6,Monday,2
2023-04-20,Tablet,Electronics,North,4,20,64000.0,13382.25,2023,4,April,20,Thursday,2
2024-12-18,Phone,Electronics,North,1,10,35100.0,9403.76,2024,12,December,18,Wednesday,4
2023-05-26,Phone,Electronics,West,5,0,150000.0,30179.5,2023,5,May,26,Friday,2
2023-12-01,Phone,Electronics,South,2,15,66300.0,7949.25,2023,12,December,1,Friday,4
2024-09-02,Laptop,Electronics,East,1,0,70000.0,8230.13,2024,9,September,2,Monday,3
2022-07-09,Laptop,Electronics,North,3,10,189000.0,47547.04,2022,7,July,9,Saturday,3
2024-08-15,Tablet,Electronics,East,5,5,95000.0,14379.46,2024,8,August,15,Thursday,3
2023-11-18,Headphones,Accessories,North,2,20,6240.0,1079.58,2023,11,November,18,Saturday,4
2024-08-15,Smartwatch,Wearables,North,4,10,28800.0,2924.7,2024,8,August,15,Thursday,3
2023-07-17,Camera,Electronics,East,4,15,136000.0,30664.61,2023,7,July,17,Monday,3
2024-04-11,Smartwatch,Wearables,South,2,0,16000.0,4215.99,2024,4,April,11,Thursday,2
2023-10-09,Phone,Electronics,South,4,20,96000.0,11498.36,2023,10,October,9,Monday,4
2022-01-21,Tablet,Electronics,North,5,5,95000.0,27735.72,2022,1,January,21,Friday,1
2024-04-20,Camera,Electronics,West,3,20,96000.0,17615.51,2024,4,April,20,Saturday,2
